gene1	gene2	annotation	direction	score	ann_class	shared_pathways	pathway_type	n_pathways_g1	n_pathways_g2	local_degree_g1	local_degree_g2	mean_local_degree	ratio_g1	ratio_g2	global_degree_g1	global_degree_g2	betweenness_g1	betweenness_g2	taxonomy_g1	taxonomy_g2	mean_global_degree	mean_betweenness
ACTA2	MYH2	complex; input	-	1.0	complex	0	inter	23	11	12.174	3.091	7.632	0.0354	0.0687	344	45	0.0008700231647221896	3.981800638007852e-06	pathway_bridge	pathway_bridge	194.5	0.0004370024826800987
ACTA2	NFATC3	catalyzed by	<-	1.0	catalyze	0	inter	23	10	12.174	2.7	7.437	0.0354	0.0643	344	42	0.0008700231647221896	2.200961790107053e-06	pathway_bridge	pathway_bridge	193.0	0.0004361120632561483
ACTA2	PCDH15	complex; input	-	1.0	complex	0	inter	23	4	12.174	0.0	6.087	0.0354	0.0	344	5	0.0008700231647221896	1.2333841160296387e-08	pathway_bridge	background	174.5	0.00043501774928167495
ACTB	MYH3	complex; input	-	1.0	complex	0	inter	108	2	41.231	4.5	22.866	0.042	0.0938	981	48	0.0016091039287130006	1.314077646283437e-05	structural_hub	background	514.5	0.0008111223525879175
ACTB	MYH6	complex; input	-	1.0	complex	0	inter	108	2	41.231	5.0	23.116	0.042	0.0877	981	57	0.0016091039287130006	3.1974278514137718e-06	structural_hub	background	519.0	0.0008061506782822071
ACTB	MYH8	complex; input	-	1.0	complex	0	inter	108	2	41.231	3.0	22.116	0.042	0.0652	981	46	0.0016091039287130006	3.336152459633534e-06	structural_hub	background	513.5	0.000806220040586317
ACTC1	CALR	predicted	-	0.88	predicted	0	inter	20	27	29.35	31.407	30.379	0.0435	0.0768	675	409	0.00037965423819584173	0.0003343390233024577	pathway_bridge	pathway_bridge	542.0	0.0003569966307491497
ACTC1	CAP1	predicted	-	0.92	predicted	0	inter	20	11	29.35	21.545	25.448	0.0435	0.1031	675	209	0.00037965423819584173	2.2317457862633736e-05	pathway_bridge	pathway_bridge	442.0	0.00020098584802923775
ACTC1	CAP2	predicted	-	0.92	predicted	0	inter	20	4	29.35	9.5	19.425	0.0435	0.1462	675	65	0.00037965423819584173	6.791243671042181e-06	pathway_bridge	background	370.0	0.00019322274093344196
ACTC1	CAPZA1	predicted	-	0.9	predicted	0	inter	20	29	29.35	32.586	30.968	0.0435	0.0871	675	374	0.00037965423819584173	0.00011588883977579477	pathway_bridge	pathway_bridge	524.5	0.00024777153898581825
ACTC1	CAPZA2	predicted	-	0.89	predicted	0	inter	20	24	29.35	30.958	30.154	0.0435	0.0739	675	419	0.00037965423819584173	0.00014534486134459862	pathway_bridge	pathway_bridge	547.0	0.00026249954977022015
